"","X","participant","num","gender","loudness","partner","partner_num","partner_gender","partner_loudness","partner_diff","nonpartner_diff","outlier","normdiff"
"101",101,"2085A",1071,"FEMALE",2.890210773,"2085B",1051,"MALE",1.639204824,1.25100595,0.739390781,"no",1.6919415039339
"102",102,"2085B",1051,"MALE",1.639204824,"2085A",1071,"FEMALE",2.890210773,1.25100595,0.632204174,"no",1.97880052275643
"103",103,"2086A",1124,"MALE",1.862863238,"2086B",1156,"FEMALE",1.578447385,0.284415853,0.432012426,"no",0.658351093354893
"104",104,"2086B",1156,"FEMALE",1.578447385,"2086A",1124,"MALE",1.862863238,0.284415853,0.579970694,"low",0.490396938918434
"105",105,"2087A",1119,"MALE",1.519658017,"2087B",1023,"MALE",2.081426897,0.56176888,0.628923981,"low",0.893222228713203
"106",106,"2087B",1023,"MALE",2.081426897,"2087A",1119,"MALE",1.519658017,0.56176888,0.067155081,"no",8.36524759757195
"107",107,"2089A",1025,"MALE",2.534367959,"2089B",1147,"MALE",2.889481007,0.355113048,0.392120426,"no",0.905622417129578
"108",108,"2089B",1147,"MALE",2.889481007,"2089A",1025,"MALE",2.534367959,0.355113048,0.747233426,"no",0.475237102147516
"109",109,"2090A",1074,"FEMALE",1.923701478,"2090B",1094,"FEMALE",2.760476276,0.836774798,0.364218499,"no",2.29745276612103
"110",110,"2090B",1094,"FEMALE",2.760476276,"2090A",1074,"FEMALE",1.923701478,0.836774798,0.472556301,"no",1.77074095981634
"111",111,"2091A",1145,"MALE",1.499624224,"2091B",1035,"FEMALE",2.767503951,1.267879727,0.790790792,"no",1.60330613333697
"112",112,"2091B",1035,"FEMALE",2.767503951,"2091A",1145,"MALE",1.499624224,1.267879727,0.616319012,"no",2.05718094414391
"113",113,"2092A",1167,"MALE",1.592936869,"2092B",1069,"MALE",2.878374695,1.285437826,0.554806183,"low",2.31691330303722
"114",114,"2092B",1069,"MALE",2.878374695,"2092A",1167,"MALE",1.592936869,1.285437826,0.730631617,"no",1.75935149272359
"115",115,"2093A",1069,"MALE",2.696669493,"2093B",1008,"FEMALE",2.587160714,0.109508779,0.410927382,"no",0.266491803167305
"116",116,"2093B",1008,"FEMALE",2.587160714,"2093A",1069,"MALE",2.696669493,0.109508779,0.444853142,"no",0.246168383812382
"117",117,"2094A",1072,"FEMALE",1.749877507,"2094B",1056,"MALE",1.53115189,0.218725617,0.403612451,"no",0.541919894834959
"118",118,"2094B",1056,"MALE",1.53115189,"2094A",1072,"FEMALE",1.749877507,0.218725617,0.761247877,"low",0.287325092927648
"119",119,"2095A",1169,"MALE",2.951815525,"2095B",1221,"MALE",1.461444979,1.490370546,0.820162865,"high",1.81716413849096
"120",120,"2095B",1221,"MALE",1.461444979,"2095A",1169,"MALE",2.951815525,1.490370546,0.670207635,"vlow",2.22374450568591
"121",121,"2096A",1139,"MALE",2.000698874,"2096B",1112,"FEMALE",2.181745696,0.181046823,0.294044433,"no",0.615712466149631
"122",122,"2096B",1112,"FEMALE",2.181745696,"2096A",1139,"MALE",2.000698874,0.181046823,0.033338947,"no",5.43049014115533
"123",123,"2101A",1148,"FEMALE",2.852100453,"2101B",1016,"FEMALE",2.492229132,0.359871321,0.589618391,"no",0.610346160318463
"124",124,"2101B",1016,"FEMALE",2.492229132,"2101A",1148,"FEMALE",2.852100453,0.359871321,0.229746991,"no",1.56638099778203
"125",125,"2102A",1138,"FEMALE",2.926532963,"2102B",1056,"MALE",1.748591509,1.177941454,0.773043049,"no",1.52377213083252
"126",126,"2102B",1056,"MALE",1.748591509,"2102A",1138,"FEMALE",2.926532963,1.177941454,0.526636515,"no",2.23672575001754
"127",127,"2104A",1031,"FEMALE",1.878820077,"2104B",1013,"FEMALE",2.948030448,1.069210371,0.402701692,"no",2.65509281992289
"128",128,"2104B",1013,"FEMALE",2.948030448,"2104A",1031,"FEMALE",1.878820077,1.069210371,0.666508608,"high",1.60419589209567
"129",129,"2105A",1000,"FEMALE",2.59730219,"2105B",1133,"MALE",2.184253571,0.413048618,0.446359556,"no",0.925371961791269
"130",130,"2105B",1133,"MALE",2.184253571,"2105A",1000,"FEMALE",2.59730219,0.413048618,0.096803218,"no",4.26688933006339
"131",131,"2107A",1053,"FEMALE",2.052714324,"2107B",1135,"FEMALE",2.664238882,0.611524558,0.235580217,"no",2.59582305249341
"132",132,"2107B",1135,"FEMALE",2.664238882,"2107A",1053,"FEMALE",2.052714324,0.611524558,0.375944383,"no",1.62663570903784
"133",133,"2108A",1151,"MALE",1.462261851,"2108B",1181,"MALE",3.520450936,2.058189085,0.668473565,"vlow",3.07893863387103
"134",134,"2108B",1181,"MALE",3.520450936,"2108A",1151,"MALE",1.462261851,2.058189085,1.389715435,"vhigh",1.48101476976112
"135",135,"2109A",1123,"FEMALE",1.46213324,"2109B",1076,"MALE",3.255105951,1.792972711,0.68015011,"vlow",2.63614264651078
"136",136,"2109B",1076,"MALE",3.255105951,"2109A",1123,"FEMALE",1.46213324,1.792972711,0.944304067,"vhigh",1.89872391071678
"137",137,"2110A",1174,"MALE",2.075124383,"2110B",1071,"FEMALE",2.819962327,0.744837944,0.196284574,"no",3.79468405907435
"138",138,"2110B",1071,"FEMALE",2.819962327,"2110A",1174,"MALE",2.075124383,0.744837944,0.672388669,"no",1.10774910158398
"139",139,"2111A",1055,"FEMALE",1.773867269,"2111B",1106,"FEMALE",1.985874025,0.212006756,0.525243221,"no",0.403635396943086
"140",140,"2111B",1106,"FEMALE",1.985874025,"2111A",1055,"FEMALE",1.773867269,0.212006756,0.313236521,"no",0.676826429188951
"141",141,"2113A",1152,"FEMALE",1.785538159,"2113B",1026,"FEMALE",1.696337776,0.089200383,0.527464629,"no",0.169111591746183
"142",142,"2113B",1026,"FEMALE",1.696337776,"2113A",1152,"FEMALE",1.785538159,0.089200383,0.616665029,"no",0.144649653872297
"143",143,"2114A",1025,"MALE",2.670213939,"2114B",1050,"MALE",1.861161653,0.809052286,0.526361288,"no",1.5370664683076
"144",144,"2114B",1050,"MALE",1.861161653,"2114A",1025,"MALE",2.670213939,0.809052286,0.282690912,"no",2.86196779470576
"145",145,"2116A",1139,"MALE",2.007103442,"2116B",1128,"MALE",1.842659461,0.164443981,0.143485125,"no",1.14606988703533
"146",146,"2116B",1128,"MALE",1.842659461,"2116A",1139,"MALE",2.007103442,0.164443981,0.307929025,"no",0.534032090674141
"147",147,"2118A",1180,"FEMALE",1.534443769,"2118B",1016,"FEMALE",2.971361786,1.436918016,0.767554192,"low",1.87207369978119
"148",148,"2118B",1016,"FEMALE",2.971361786,"2118A",1180,"FEMALE",1.534443769,1.436918016,0.669363808,"high",2.14669212590592
"149",149,"2120A",1123,"FEMALE",1.286269056,"2120B",1169,"MALE",2.998831714,1.712562659,0.843134516,"vlow",2.03118556588662
"150",150,"2120B",1169,"MALE",2.998831714,"2120A",1123,"FEMALE",1.286269056,1.712562659,0.688029767,"high",2.48908221873488
"151",151,"2121A",1121,"MALE",1.798161709,"2121B",1087,"MALE",1.830319519,0.03215781,0.3553552,"no",0.0904948344642206
"152",152,"2121B",1087,"MALE",1.830319519,"2121A",1121,"MALE",1.798161709,0.03215781,0.3231974,"no",0.0994989749298726
"153",153,"2122A",1167,"MALE",2.429622071,"2122B",1112,"FEMALE",1.93464849,0.494973582,0.134878767,"no",3.66976650965381
"154",154,"2122B",1112,"FEMALE",1.93464849,"2122A",1167,"MALE",2.429622071,0.494973582,0.216749666,"no",2.28361866080107
"155",155,"2123A",1145,"MALE",1.613418382,"2123B",1044,"FEMALE",2.813101906,1.199683524,0.676111141,"low",1.77438804251267
"156",156,"2123B",1044,"FEMALE",2.813101906,"2123A",1145,"MALE",1.613418382,1.199683524,0.661916912,"no",1.81243824149337
"157",157,"2124A",1083,"FEMALE",1.905030364,"2124B",1026,"FEMALE",1.701767232,0.203263131,0.393320196,"no",0.516787932750852
"158",158,"2124B",1026,"FEMALE",1.701767232,"2124A",1083,"FEMALE",1.905030364,0.203263131,0.596583396,"no",0.340712015055813
"159",159,"2125A",1005,"FEMALE",2.563089849,"2125B",1142,"MALE",2.276296459,0.28679339,0.418566216,"no",0.685180454219936
"160",160,"2125B",1142,"MALE",2.276296459,"2125A",1005,"FEMALE",2.563089849,0.28679339,0.012020336,"no",23.8590160874039
"161",161,"2129A",1013,"FEMALE",1.268803916,"2129B",1147,"MALE",3.57677472,2.307970805,0.876531213,"vlow",2.63307315332306
"162",162,"2129B",1147,"MALE",3.57677472,"2129A",1013,"FEMALE",1.268803916,2.307970805,1.302588352,"vhigh",1.77183436459902
"163",163,"2130A",1073,"MALE",1.954130763,"2130B",1170,"MALE",1.732627126,0.221503637,0.193998572,"no",1.14177972918275
"164",164,"2130B",1170,"MALE",1.732627126,"2130A",1073,"MALE",1.954130763,0.221503637,0.415502272,"no",0.533098497714111
"165",165,"2131A",1128,"MALE",1.809978823,"2131B",1126,"FEMALE",2.84370365,1.033724827,0.465949647,"no",2.21853334079251
"166",166,"2131B",1126,"FEMALE",2.84370365,"2131A",1128,"MALE",1.809978823,1.033724827,0.695750652,"no",1.48576910999431
"167",167,"2136A",1175,"FEMALE",2.279068213,"2136B",1120,"FEMALE",1.61340472,0.665663493,0.022740492,"no",29.2721675942631
"168",168,"2136B",1120,"FEMALE",1.61340472,"2136A",1175,"FEMALE",2.279068213,0.665663493,0.688403992,"low",0.966966346412471
"169",169,"2137A",1039,"MALE",3.043790788,"2137B",1089,"FEMALE",3.0031305,0.040660288,0.755649436,"high",0.0538084011750655
"170",170,"2137B",1089,"FEMALE",3.0031305,"2137A",1039,"MALE",3.043790788,0.040660288,0.888437923,"high",0.0457660427896885
"171",171,"2139A",1018,"FEMALE",3.115181385,"2139B",1101,"MALE",1.966725331,1.148456054,0.964779365,"vhigh",1.19038206626652
"172",172,"2139B",1101,"MALE",1.966725331,"2139A",1018,"FEMALE",3.115181385,1.148456054,0.323053913,"no",3.55499812193886
"173",173,"2141A",1139,"MALE",2.163523667,"2141B",1098,"FEMALE",2.001330767,0.1621929,0.129449718,"no",1.25294131579336
"174",174,"2141B",1098,"FEMALE",2.001330767,"2141A",1139,"MALE",2.163523667,0.1621929,0.147075953,"no",1.1027832673639
"175",175,"2145A",1152,"FEMALE",1.647255423,"2145B",1119,"MALE",1.911083521,0.263828097,0.51004929,"no",0.517260002459762
"176",176,"2145B",1119,"MALE",1.911083521,"2145A",1152,"FEMALE",1.647255423,0.263828097,0.393021967,"no",0.671280791284625
"177",177,"2149A",1028,"MALE",2.525302712,"2149B",1106,"FEMALE",2.098397397,0.426905316,0.230974521,"no",1.84827882379286
"178",178,"2149B",1106,"FEMALE",2.098397397,"2149A",1028,"MALE",2.525302712,0.426905316,0.031614763,"no",13.5033533542542
"179",179,"2150A",1175,"FEMALE",2.249613343,"2150B",1075,"FEMALE",2.068414197,0.181199146,0.050130874,"no",3.61452198100516
"180",180,"2150B",1075,"FEMALE",2.068414197,"2150A",1175,"FEMALE",2.249613343,0.181199146,0.231329974,"no",0.783292985629264
"181",181,"2151A",1010,"MALE",1.52240988,"2151B",1126,"FEMALE",2.777976415,1.255566535,0.753518547,"low",1.66627157353832
"182",182,"2151B",1126,"FEMALE",2.777976415,"2151A",1010,"MALE",1.52240988,1.255566535,0.622116508,"no",2.01821767925181
"183",183,"2152A",1042,"FEMALE",1.334112319,"2152B",1128,"MALE",3.171603279,1.83749096,0.813840748,"vlow",2.25780162091368
"184",184,"2152B",1128,"MALE",3.171603279,"2152A",1042,"FEMALE",1.334112319,1.83749096,0.868182974,"vhigh",2.11647891634419
"185",185,"2153A",1153,"FEMALE",3.100925732,"2153B",1139,"MALE",2.168780585,0.932145147,0.952518947,"vhigh",0.978610609201877
"186",186,"2153B",1139,"MALE",2.168780585,"2153A",1153,"FEMALE",3.100925732,0.932145147,0.115516754,"no",8.06935024334219
"187",187,"2154A",1002,"FEMALE",1.502249654,"2154B",1085,"MALE",2.505592271,1.003342617,0.645988921,"low",1.55318858324507
"188",188,"2154B",1085,"MALE",2.505592271,"2154A",1002,"FEMALE",1.502249654,1.003342617,0.212140335,"no",4.72961738747136
"189",189,"2155A",1120,"FEMALE",1.501420698,"2155B",1138,"FEMALE",2.708822621,1.207401923,0.782285974,"low",1.54342780406287
"190",190,"2155B",1138,"FEMALE",2.708822621,"2155A",1120,"FEMALE",1.501420698,1.207401923,0.425115926,"no",2.84017099608731
"191",191,"2157A",1018,"FEMALE",1.557749075,"2157B",1024,"MALE",1.35667601,0.201073065,0.601207979,"low",0.334448430532224
"192",192,"2157B",1024,"MALE",1.35667601,"2157A",1018,"FEMALE",1.557749075,0.201073065,0.933103213,"vlow",0.215488557105633
"193",193,"2158A",1167,"MALE",1.752731283,"2158B",1127,"MALE",2.20930738,0.456576096,0.400002401,"no",1.14143338854609
"194",194,"2158B",1127,"MALE",2.20930738,"2158A",1167,"MALE",1.752731283,0.456576096,0.056573699,"no",8.07046567699241
"195",195,"2160A",1167,"MALE",1.892246364,"2160B",1123,"FEMALE",1.409667938,0.482578425,0.418555533,"no",1.15296152350708
"196",196,"2160B",1123,"FEMALE",1.409667938,"2160A",1167,"MALE",1.892246364,0.482578425,0.741730266,"vlow",0.650611748125699
"197",197,"2161A",1157,"FEMALE",2.129406511,"2161B",1002,"FEMALE",2.433215052,0.303808541,0.166817506,"no",1.82120299172918
"198",198,"2161B",1002,"FEMALE",2.433215052,"2161A",1157,"FEMALE",2.129406511,0.303808541,0.136991094,"no",2.21772475953802
"199",199,"2162A",1132,"FEMALE",1.735609644,"2162B",1151,"MALE",1.714800925,0.020808719,0.422344013,"no",0.049269596252096
"200",200,"2162B",1151,"MALE",1.714800925,"2162A",1132,"FEMALE",1.735609644,0.020808719,0.582036216,"no",0.0357515880077126
"201",201,"2163A",1000,"FEMALE",2.688529348,"2163B",1129,"FEMALE",1.569372764,1.119156584,0.405315864,"no",2.76119610260308
"202",202,"2163B",1129,"FEMALE",1.569372764,"2163A",1000,"FEMALE",2.688529348,1.119156584,0.713840636,"low",1.56779612641721
