participant,num,gender,self_feature,partner,partner_num,partner_gender,partner_feature,partner_diff,nonpartner_diff
2079A,1000,FEMALE,,2079B,1061,MALE,,,
2079B,1061,MALE,,2079A,1000,FEMALE,,,
2080A,1010,MALE,,2080B,1051,MALE,,,
2080B,1051,MALE,,2080A,1010,MALE,,,
2082A,1055,FEMALE,,2082B,1060,FEMALE,,,
2082B,1060,FEMALE,,2082A,1055,FEMALE,,,
2083A,1063,MALE,,2083B,1018,FEMALE,,,
2083B,1018,FEMALE,,2083A,1063,MALE,,,
2085A,1071,FEMALE,,2085B,1051,MALE,,,
2085B,1051,MALE,,2085A,1071,FEMALE,,,
2086A,1124,MALE,,2086B,1156,FEMALE,,,
2086B,1156,FEMALE,,2086A,1124,MALE,,,
2087A,1119,MALE,,2087B,1023,MALE,,,
2087B,1023,MALE,,2087A,1119,MALE,,,
2089A,1025,MALE,,2089B,1147,MALE,,,
2089B,1147,MALE,,2089A,1025,MALE,,,
2090A,1074,FEMALE,,2090B,1094,FEMALE,,,
2090B,1094,FEMALE,,2090A,1074,FEMALE,,,
2091A,1145,MALE,,2091B,1035,FEMALE,,,
2091B,1035,FEMALE,,2091A,1145,MALE,,,
2092A,1167,MALE,,2092B,1069,MALE,,,
2092B,1069,MALE,,2092A,1167,MALE,,,
2093A,1069,MALE,,2093B,1008,FEMALE,,,
2093B,1008,FEMALE,,2093A,1069,MALE,,,
2094A,1072,FEMALE,,2094B,1056,MALE,,,
2094B,1056,MALE,,2094A,1072,FEMALE,,,
2095A,1169,MALE,,2095B,1221,MALE,,,
2095B,1221,MALE,,2095A,1169,MALE,,,
2096A,1139,MALE,,2096B,1112,FEMALE,,,
2096B,1112,FEMALE,,2096A,1139,MALE,,,
2101A,1148,FEMALE,,2101B,1016,FEMALE,,,
2101B,1016,FEMALE,,2101A,1148,FEMALE,,,
2102A,1138,FEMALE,,2102B,1056,MALE,,,
2102B,1056,MALE,,2102A,1138,FEMALE,,,
2104A,1031,FEMALE,,2104B,1013,FEMALE,,,
2104B,1013,FEMALE,,2104A,1031,FEMALE,,,
2105A,1000,FEMALE,,2105B,1133,MALE,,,
2105B,1133,MALE,,2105A,1000,FEMALE,,,
2107A,1053,FEMALE,,2107B,1135,FEMALE,,,
2107B,1135,FEMALE,,2107A,1053,FEMALE,,,
2108A,1151,MALE,,2108B,1181,MALE,,,
2108B,1181,MALE,,2108A,1151,MALE,,,
2109A,1123,FEMALE,,2109B,1076,MALE,,,
2109B,1076,MALE,,2109A,1123,FEMALE,,,
2110A,1174,MALE,,2110B,1071,FEMALE,,,
2110B,1071,FEMALE,,2110A,1174,MALE,,,
2111A,1055,FEMALE,,2111B,1106,FEMALE,,,
2111B,1106,FEMALE,,2111A,1055,FEMALE,,,
2113A,1152,FEMALE,,2113B,1026,FEMALE,,,
2113B,1026,FEMALE,,2113A,1152,FEMALE,,,
2114A,1025,MALE,,2114B,1050,MALE,,,
2114B,1050,MALE,,2114A,1025,MALE,,,
2116A,1139,MALE,,2116B,1128,MALE,,,
2116B,1128,MALE,,2116A,1139,MALE,,,
2118A,1180,FEMALE,,2118B,1016,FEMALE,,,
2118B,1016,FEMALE,,2118A,1180,FEMALE,,,
2120A,1123,FEMALE,,2120B,1169,MALE,,,
2120B,1169,MALE,,2120A,1123,FEMALE,,,
2121A,1121,MALE,,2121B,1087,MALE,,,
2121B,1087,MALE,,2121A,1121,MALE,,,
2122A,1167,MALE,,2122B,1112,FEMALE,,,
2122B,1112,FEMALE,,2122A,1167,MALE,,,
2123A,1145,MALE,,2123B,1044,FEMALE,,,
2123B,1044,FEMALE,,2123A,1145,MALE,,,
2124A,1083,FEMALE,,2124B,1026,FEMALE,,,
2124B,1026,FEMALE,,2124A,1083,FEMALE,,,
2125A,1005,FEMALE,,2125B,1142,MALE,,,
2125B,1142,MALE,,2125A,1005,FEMALE,,,
2129A,1013,FEMALE,,2129B,1147,MALE,,,
2129B,1147,MALE,,2129A,1013,FEMALE,,,
2130A,1073,MALE,,2130B,1170,MALE,,,
2130B,1170,MALE,,2130A,1073,MALE,,,
2131A,1128,MALE,,2131B,1126,FEMALE,,,
2131B,1126,FEMALE,,2131A,1128,MALE,,,
2136A,1175,FEMALE,,2136B,1120,FEMALE,,,
2136B,1120,FEMALE,,2136A,1175,FEMALE,,,
2137A,1039,MALE,,2137B,1089,FEMALE,,,
2137B,1089,FEMALE,,2137A,1039,MALE,,,
2139A,1018,FEMALE,,2139B,1101,MALE,,,
2139B,1101,MALE,,2139A,1018,FEMALE,,,
2141A,1139,MALE,,2141B,1098,FEMALE,,,
2141B,1098,FEMALE,,2141A,1139,MALE,,,
2145A,1152,FEMALE,,2145B,1119,MALE,,,
2145B,1119,MALE,,2145A,1152,FEMALE,,,
2149A,1028,MALE,,2149B,1106,FEMALE,,,
2149B,1106,FEMALE,,2149A,1028,MALE,,,
2150A,1175,FEMALE,,2150B,1075,FEMALE,,,
2150B,1075,FEMALE,,2150A,1175,FEMALE,,,
2151A,1010,MALE,,2151B,1126,FEMALE,,,
2151B,1126,FEMALE,,2151A,1010,MALE,,,
2152A,1042,FEMALE,,2152B,1128,MALE,,,
2152B,1128,MALE,,2152A,1042,FEMALE,,,
2153A,1153,FEMALE,,2153B,1139,MALE,,,
2153B,1139,MALE,,2153A,1153,FEMALE,,,
2154A,1002,FEMALE,,2154B,1085,MALE,,,
2154B,1085,MALE,,2154A,1002,FEMALE,,,
2155A,1120,FEMALE,,2155B,1138,FEMALE,,,
2155B,1138,FEMALE,,2155A,1120,FEMALE,,,
2157A,1018,FEMALE,,2157B,1024,MALE,,,
2157B,1024,MALE,,2157A,1018,FEMALE,,,
2158A,1167,MALE,,2158B,1127,MALE,,,
2158B,1127,MALE,,2158A,1167,MALE,,,
2160A,1167,MALE,,2160B,1123,FEMALE,,,
2160B,1123,FEMALE,,2160A,1167,MALE,,,
2161A,1157,FEMALE,,2161B,1002,FEMALE,,,
2161B,1002,FEMALE,,2161A,1157,FEMALE,,,
2162A,1132,FEMALE,,2162B,1151,MALE,,,
2162B,1151,MALE,,2162A,1132,FEMALE,,,
2163A,1000,FEMALE,,2163B,1129,FEMALE,,,
2163B,1129,FEMALE,,2163A,1000,FEMALE,,,
2164A,1042,FEMALE,,2164B,1023,MALE,,,
2164B,1023,MALE,,2164A,1042,FEMALE,,,
2165A,1128,MALE,,2165B,1035,FEMALE,,,
2165B,1035,FEMALE,,2165A,1128,MALE,,,
2166A,1141,MALE,,2166B,1011,FEMALE,,,
2166B,1011,FEMALE,,2166A,1141,MALE,,,
2167A,1152,FEMALE,,2167B,1033,FEMALE,,,
2167B,1033,FEMALE,,2167A,1152,FEMALE,,,
2168A,1071,FEMALE,,2168B,1039,MALE,,,
2168B,1039,MALE,,2168A,1071,FEMALE,,,
2169A,1124,MALE,,2169B,1083,FEMALE,,,
2169B,1083,FEMALE,,2169A,1124,MALE,,,
2171A,1024,MALE,,2171B,1055,FEMALE,,,
2171B,1055,FEMALE,,2171A,1024,MALE,,,
2172A,1022,FEMALE,,2172B,1139,MALE,,,
2172B,1139,MALE,,2172A,1022,FEMALE,,,
2173A,1018,FEMALE,,2173B,1068,FEMALE,,,
2173B,1068,FEMALE,,2173A,1018,FEMALE,,,
2174A,1122,MALE,,2174B,1028,MALE,,,
2174B,1028,MALE,,2174A,1122,MALE,,,
2175A,1120,FEMALE,,2175B,1179,FEMALE,,,
2175B,1179,FEMALE,,2175A,1120,FEMALE,,,
2176A,1019,MALE,,2176B,1176,FEMALE,,,
2176B,1176,FEMALE,,2176A,1019,MALE,,,
2177A,1057,FEMALE,,2177B,1013,FEMALE,,,
2177B,1013,FEMALE,,2177A,1057,FEMALE,,,
2178A,1000,FEMALE,,2178B,1035,FEMALE,,,
2178B,1035,FEMALE,,2178A,1000,FEMALE,,,
2179A,1010,MALE,,2179B,1128,MALE,,,
2179B,1128,MALE,,2179A,1010,MALE,,,
2180A,1123,FEMALE,,2180B,1117,MALE,,,
2180B,1117,MALE,,2180A,1123,FEMALE,,,
2181A,1110,MALE,,2181B,1174,MALE,,,
2181B,1174,MALE,,2181A,1110,MALE,,,
2182A,1181,MALE,,2182B,1027,FEMALE,,,
2182B,1027,FEMALE,,2182A,1181,MALE,,,
2184A,1152,FEMALE,,2184B,1091,FEMALE,,,
2184B,1091,FEMALE,,2184A,1152,FEMALE,,,
2185A,1071,FEMALE,,2185B,1142,MALE,,,
2185B,1142,MALE,,2185A,1071,FEMALE,,,
2186A,1139,MALE,,2186B,1214,FEMALE,,,
2186B,1214,FEMALE,,2186A,1139,MALE,,,
2187A,1214,FEMALE,,2187B,1093,FEMALE,,,
2187B,1093,FEMALE,,2187A,1214,FEMALE,,,
2189A,1078,MALE,,2189B,1033,FEMALE,,,
2189B,1033,FEMALE,,2189A,1078,MALE,,,
2190A,1104,MALE,,2190B,1039,MALE,,,
2190B,1039,MALE,,2190A,1104,MALE,,,
2191A,1148,FEMALE,,2191B,1086,FEMALE,,,
2191B,1086,FEMALE,,2191A,1148,FEMALE,,,
2193A,1106,FEMALE,,2193B,1159,MALE,,,
2193B,1159,MALE,,2193A,1106,FEMALE,,,
2194A,1019,MALE,,2194B,1220,MALE,,,
2194B,1220,MALE,,2194A,1019,MALE,,,
2195A,1180,FEMALE,,2195B,1157,FEMALE,,,
2195B,1157,FEMALE,,2195A,1180,FEMALE,,,
2196A,1181,MALE,,2196B,1022,FEMALE,,,
2196B,1022,FEMALE,,2196A,1181,MALE,,,
2197A,1110,MALE,,2197B,1073,MALE,,,
2197B,1073,MALE,,2197A,1110,MALE,,,
2198A,1145,MALE,,2198B,1124,MALE,,,
2198B,1124,MALE,,2198A,1145,MALE,,,
2199A,1124,MALE,,2199B,1138,FEMALE,,,
2199B,1138,FEMALE,,2199A,1124,MALE,,,
2201A,1060,FEMALE,,2201B,1059,MALE,,,
2201B,1059,MALE,,2201A,1060,FEMALE,,,
2202A,1141,MALE,,2202B,1042,FEMALE,,,
2202B,1042,FEMALE,,2202A,1141,MALE,,,
2203A,1151,MALE,,2203B,1107,FEMALE,,,
2203B,1107,FEMALE,,2203A,1151,MALE,,,
2204A,1041,MALE,,2204B,1101,MALE,,,
2204B,1101,MALE,,2204A,1041,MALE,,,
2205A,1148,FEMALE,,2205B,1039,MALE,,,
2205B,1039,MALE,,2205A,1148,FEMALE,,,
2206A,1139,MALE,,2206B,1156,FEMALE,,,
2206B,1156,FEMALE,,2206A,1139,MALE,,,
2220A,1071,FEMALE,,2220B,1179,FEMALE,,,
2220B,1179,FEMALE,,2220A,1071,FEMALE,,,
2221A,1013,FEMALE,,2221B,1108,MALE,,,
2221B,1108,MALE,,2221A,1013,FEMALE,,,
2222A,1145,MALE,,2222B,1123,FEMALE,,,
2222B,1123,FEMALE,,2222A,1145,MALE,,,
2223A,1010,MALE,,2223B,1045,FEMALE,,,
2223B,1045,FEMALE,,2223A,1010,MALE,,,
2224A,1010,MALE,,2224B,1115,MALE,,,
2224B,1115,MALE,,2224A,1010,MALE,,,
2226A,1152,FEMALE,,2226B,1106,FEMALE,,,
2226B,1106,FEMALE,,2226A,1152,FEMALE,,,
2227A,1167,MALE,,2227B,1401,FEMALE,,,
2227B,1401,FEMALE,,2227A,1167,MALE,,,
2228A,1120,FEMALE,,2228B,1119,MALE,,,
2228B,1119,MALE,,2228A,1120,FEMALE,,,
2229A,1139,MALE,,2229B,1075,FEMALE,,,
2229B,1075,FEMALE,,2229A,1139,MALE,,,
2230A,1084,MALE,,2230B,1181,MALE,,,
2230B,1181,MALE,,2230A,1084,MALE,,,
2231A,1000,FEMALE,,2231B,1138,FEMALE,,,
2231B,1138,FEMALE,,2231A,1000,FEMALE,,,
2232A,1083,FEMALE,,2232B,1039,MALE,,,
2232B,1039,MALE,,2232A,1083,FEMALE,,,
2233A,1128,MALE,,2233B,1028,MALE,,,
2233B,1028,MALE,,2233A,1128,MALE,,,
2234A,1148,FEMALE,,2234B,1094,FEMALE,,,
2234B,1094,FEMALE,,2234A,1148,FEMALE,,,
2235A,1052,MALE,,2235B,1083,FEMALE,,,
2235B,1083,FEMALE,,2235A,1052,MALE,,,
2236A,1016,FEMALE,,2236B,1041,MALE,,,
2236B,1041,MALE,,2236A,1016,FEMALE,,,
2237A,1043,FEMALE,,2237B,1108,MALE,,,
2237B,1108,MALE,,2237A,1043,FEMALE,,,
2238A,1180,FEMALE,,2238B,1096,FEMALE,,,
2238B,1096,FEMALE,,2238A,1180,FEMALE,,,
2239A,1075,FEMALE,,2239B,1176,FEMALE,,,
2239B,1176,FEMALE,,2239A,1075,FEMALE,,,
2240A,1121,MALE,,2240B,1147,MALE,,,
2240B,1147,MALE,,2240A,1121,MALE,,,
2241A,1169,MALE,,2241B,1142,MALE,,,
2241B,1142,MALE,,2241A,1169,MALE,,,
2242A,1010,MALE,,2242B,1095,MALE,,,
2242B,1095,MALE,,2242A,1010,MALE,,,
2243A,1151,MALE,,2243B,1130,FEMALE,,,
2243B,1130,FEMALE,,2243A,1151,MALE,,,
2244A,1130,FEMALE,,2244B,1107,FEMALE,,,
2244B,1107,FEMALE,,2244A,1130,FEMALE,,,
2245A,1141,MALE,,2245B,1126,FEMALE,,,
2245B,1126,FEMALE,,2245A,1141,MALE,,,
2246A,1013,FEMALE,,2246B,1110,MALE,,,
2246B,1110,MALE,,2246A,1013,FEMALE,,,
2247A,1085,MALE,,2247B,1170,MALE,,,
2247B,1170,MALE,,2247A,1085,MALE,,,
2248A,1000,FEMALE,,2248B,1112,FEMALE,,,
2248B,1112,FEMALE,,2248A,1000,FEMALE,,,
2249A,1132,FEMALE,,2249B,1135,FEMALE,,,
2249B,1135,FEMALE,,2249A,1132,FEMALE,,,
2250A,1145,MALE,,2250B,1133,MALE,,,
2250B,1133,MALE,,2250A,1145,MALE,,,
2251A,1401,FEMALE,,2251B,1181,MALE,,,
2251B,1181,MALE,,2251A,1401,FEMALE,,,
2252A,1078,MALE,,2252B,1140,MALE,,,
2252B,1140,MALE,,2252A,1078,MALE,,,
2253A,1140,MALE,,2253B,1149,FEMALE,,,
2253B,1149,FEMALE,,2253A,1140,MALE,,,
2254A,1124,MALE,,2254B,1007,FEMALE,,,
2254B,1007,FEMALE,,2254A,1124,MALE,,,
2255A,1139,MALE,,2255B,1175,FEMALE,,,
2255B,1175,FEMALE,,2255A,1139,MALE,,,
2256A,1063,MALE,,2256B,1152,FEMALE,,,
2256B,1152,FEMALE,,2256A,1063,MALE,,,
2257A,1115,MALE,,2257B,1159,MALE,,,
2257B,1159,MALE,,2257A,1115,MALE,,,
2258A,1140,MALE,,2258B,1102,MALE,,,
2258B,1102,MALE,,2258A,1140,MALE,,,
2259A,1055,FEMALE,,2259B,1101,MALE,,,
2259B,1101,MALE,,2259A,1055,FEMALE,,,
2260A,1047,MALE,,2260B,1005,FEMALE,,,
2260B,1005,FEMALE,,2260A,1047,MALE,,,
2261A,1180,FEMALE,,2261B,1122,MALE,,,
2261B,1122,MALE,,2261A,1180,FEMALE,,,
2262A,1043,FEMALE,,2262B,1148,FEMALE,,,
2262B,1148,FEMALE,,2262A,1043,FEMALE,,,
2263A,1043,FEMALE,,2263B,1059,MALE,,,
2263B,1059,MALE,,2263A,1043,FEMALE,,,
2264A,1096,FEMALE,,2264B,1094,FEMALE,,,
2264B,1094,FEMALE,,2264A,1096,FEMALE,,,
2265A,1052,MALE,,2265B,1061,MALE,,,
2265B,1061,MALE,,2265A,1052,MALE,,,
2266A,1061,MALE,,2266B,1098,FEMALE,,,
2266B,1098,FEMALE,,2266A,1061,MALE,,,
2267A,1120,FEMALE,,2267B,1126,FEMALE,,,
2267B,1126,FEMALE,,2267A,1120,FEMALE,,,
2268A,1031,FEMALE,,2268B,1112,FEMALE,,,
2268B,1112,FEMALE,,2268A,1031,FEMALE,,,
2269A,1181,MALE,,2269B,1087,MALE,,,
2269B,1087,MALE,,2269A,1181,MALE,,,
2270A,1147,MALE,,2270B,1061,MALE,,,
2270B,1061,MALE,,2270A,1147,MALE,,,
2271A,1154,MALE,,2271B,1170,MALE,,,
2271B,1170,MALE,,2271A,1154,MALE,,,
2272A,1016,FEMALE,,2272B,1007,FEMALE,,,
2272B,1007,FEMALE,,2272A,1016,FEMALE,,,
2273A,1019,MALE,,2273B,1023,MALE,,,
2273B,1023,MALE,,2273A,1019,MALE,,,
2274A,1007,FEMALE,,2274B,1075,FEMALE,,,
2274B,1075,FEMALE,,2274A,1007,FEMALE,,,
2275A,1115,MALE,,2275B,1026,FEMALE,,,
2275B,1026,FEMALE,,2275A,1115,MALE,,,
2276A,1105,FEMALE,,2276B,1063,MALE,,,
2276B,1063,MALE,,2276A,1105,FEMALE,,,
2277A,1033,FEMALE,,2277B,1175,FEMALE,,,
2277B,1175,FEMALE,,2277A,1033,FEMALE,,,
2278A,1090,MALE,,2278B,1028,MALE,,,
2278B,1028,MALE,,2278A,1090,MALE,,,
2279A,1167,MALE,,2279B,1000,FEMALE,,,
2279B,1000,FEMALE,,2279A,1167,MALE,,,
2280A,1175,FEMALE,,2280B,1116,MALE,,,
2280B,1116,MALE,,2280A,1175,FEMALE,,,
2281A,1260,FEMALE,,2281B,1159,MALE,,,
2281B,1159,MALE,,2281A,1260,FEMALE,,,
2282A,1139,MALE,,2282B,1149,FEMALE,,,
2282B,1149,FEMALE,,2282A,1139,MALE,,,
2283A,1214,FEMALE,,2283B,1073,MALE,,,
2283B,1073,MALE,,2283A,1214,FEMALE,,,
2284A,1083,FEMALE,,2284B,1153,FEMALE,,,
2284B,1153,FEMALE,,2284A,1083,FEMALE,,,
2285A,1214,FEMALE,,2285B,1068,FEMALE,,,
2285B,1068,FEMALE,,2285A,1214,FEMALE,,,
2286A,1024,MALE,,2286B,1178,FEMALE,,,
2286B,1178,FEMALE,,2286A,1024,MALE,,,
2287A,1022,FEMALE,,2287B,1135,FEMALE,,,
2287B,1135,FEMALE,,2287A,1022,FEMALE,,,
2288A,1093,FEMALE,,2288B,1219,MALE,,,
2288B,1219,MALE,,2288A,1093,FEMALE,,,
2290A,1101,MALE,,2290B,1053,FEMALE,,,
2290B,1053,FEMALE,,2290A,1101,MALE,,,
2291A,1180,FEMALE,,2291B,1084,MALE,,,
2291B,1084,MALE,,2291A,1180,FEMALE,,,
2292A,1148,FEMALE,,2292B,1176,FEMALE,,,
2292B,1176,FEMALE,,2292A,1148,FEMALE,,,
2293A,1120,FEMALE,,2293B,1142,MALE,,,
2293B,1142,MALE,,2293A,1120,FEMALE,,,
2294A,1121,MALE,,2294B,1122,MALE,,,
2294B,1122,MALE,,2294A,1121,MALE,,,
2295A,1000,FEMALE,,2295B,1016,FEMALE,,,
2295B,1016,FEMALE,,2295A,1000,FEMALE,,,
2296A,1130,FEMALE,,2296B,1056,MALE,,,
2296B,1056,MALE,,2296A,1130,FEMALE,,,
2297A,1019,MALE,,2297B,1052,MALE,,,
2297B,1052,MALE,,2297A,1019,MALE,,,
2298A,1170,MALE,,2298B,1023,MALE,,,
2298B,1023,MALE,,2298A,1170,MALE,,,
2299A,1108,MALE,,2299B,1107,FEMALE,,,
2299B,1107,FEMALE,,2299A,1108,MALE,,,
2300A,1083,FEMALE,,2300B,1061,MALE,,,
2300B,1061,MALE,,2300A,1083,FEMALE,,,
2301A,1013,FEMALE,,2301B,1133,MALE,,,
2301B,1133,MALE,,2301A,1013,FEMALE,,,
2302A,1047,MALE,,2302B,1085,MALE,,,
2302B,1085,MALE,,2302A,1047,MALE,,,
2303A,1028,MALE,,2303B,1031,FEMALE,,,
2303B,1031,FEMALE,,2303A,1028,MALE,,,
2304A,1105,FEMALE,,2304B,1167,MALE,,,
2304B,1167,MALE,,2304A,1105,FEMALE,,,
2305A,1141,MALE,,2305B,1169,MALE,,,
2305B,1169,MALE,,2305A,1141,MALE,,,
2306A,1123,FEMALE,,2306B,1060,FEMALE,,,
2306B,1060,FEMALE,,2306A,1123,FEMALE,,,
2307A,1115,MALE,,2307B,1020,FEMALE,,,
2307B,1020,FEMALE,,2307A,1115,MALE,,,
2308A,1214,FEMALE,,2308B,1117,MALE,,,
2308B,1117,MALE,,2308A,1214,FEMALE,,,
2309A,1022,FEMALE,,2309B,1078,MALE,,,
2309B,1078,MALE,,2309A,1022,FEMALE,,,
2310A,1127,MALE,,2310B,1101,MALE,,,
2310B,1101,MALE,,2310A,1127,MALE,,,
2311A,1214,FEMALE,,2311B,1007,FEMALE,,,
2311B,1007,FEMALE,,2311A,1214,FEMALE,,,
2312A,1145,MALE,,2312B,1075,FEMALE,,,
2312B,1075,FEMALE,,2312A,1145,MALE,,,
2313A,1039,MALE,,2313B,1024,MALE,,,
2313B,1024,MALE,,2313A,1039,MALE,,,
2314A,1055,FEMALE,,2314B,1086,FEMALE,,,
2314B,1086,FEMALE,,2314A,1055,FEMALE,,,
2315A,1214,FEMALE,,2315B,1146,MALE,,,
2315B,1146,MALE,,2315A,1214,FEMALE,,,
2316A,1214,FEMALE,,2316B,1059,MALE,,,
2316B,1059,MALE,,2316A,1214,FEMALE,,,
2317A,1091,FEMALE,,2317B,1175,FEMALE,,,
2317B,1175,FEMALE,,2317A,1091,FEMALE,,,
2318A,1214,FEMALE,,2318B,1178,FEMALE,,,
2318B,1178,FEMALE,,2318A,1214,FEMALE,,,
2319A,1102,MALE,,2319B,1139,MALE,,,
2319B,1139,MALE,,2319A,1102,MALE,,,
2320A,1159,MALE,,2320B,1033,FEMALE,,,
2320B,1033,FEMALE,,2320A,1159,MALE,,,
2323A,1130,FEMALE,,2323B,1167,MALE,,,
2323B,1167,MALE,,2323A,1130,FEMALE,,,
2324A,1083,FEMALE,,2324B,1138,FEMALE,,,
2324B,1138,FEMALE,,2324A,1083,FEMALE,,,
2325A,1005,FEMALE,,2325B,1064,FEMALE,,,
2325B,1064,FEMALE,,2325A,1005,FEMALE,,,
2326A,1159,MALE,,2326B,1059,MALE,,,
2326B,1059,MALE,,2326A,1159,MALE,,,
2327A,1147,MALE,,2327B,1117,MALE,,,
2327B,1117,MALE,,2327A,1147,MALE,,,
2328A,1180,FEMALE,,2328B,1026,FEMALE,,,
2328B,1026,FEMALE,,2328A,1180,FEMALE,,,
2329A,1121,MALE,,2329B,1126,FEMALE,,,
2329B,1126,FEMALE,,2329A,1121,MALE,,,
2330A,1170,MALE,,2330B,1016,FEMALE,,,
2330B,1016,FEMALE,,2330A,1170,MALE,,,
